burst_size,index,interarrival
30,1,0.001215113468829894
30,2,0.002913148171716253
30,3,0.0005370505639819125
30,4,0.003294738958096552
30,5,0.0005574031468746434
30,6,0.0015977642123040866
30,7,0.00455633837327709
30,8,0.0013701929288356327
30,9,0.0013637888746850686
30,10,0.0015886340598795044
30,11,0.0006574992384732315
30,12,0.0010653419357919045
30,13,0.002340146511424739
30,14,0.0004119564862937336
30,15,0.0007224358692747283
30,16,0.0006009540080736973
30,17,0.0004907017539461275
30,18,0.0005430630180116222
30,19,0.0008425599833773282
30,20,0.0004194643919606916
30,21,0.0006608985095050528
30,22,0.0008990133325378465
30,23,0.0015938674695380197
30,24,0.0007818869229326988
30,25,0.0007470223138389571
30,26,0.0004532195984770594
30,27,0.000583634532156721
30,28,0.0008429262144494511
30,29,0.001867295089650659
30,30,0.0010364043196953812
60,1,0.001215113468829894
60,2,0.002913148171716253
60,3,0.0005370505639819125
60,4,0.003294738958096552
60,5,0.0005574031468746434
60,6,0.0015977642123040866
60,7,0.00455633837327709
60,8,0.0013701929288356327
60,9,0.0013637888746850686
60,10,0.0015886340598795044
60,11,0.0006574992384732315
60,12,0.0010653419357919045
60,13,0.002340146511424739
60,14,0.0004119564862937336
60,15,0.0007224358692747283
60,16,0.0006009540080736973
60,17,0.0004907017539461275
60,18,0.0005430630180116222
60,19,0.0008425599833773282
60,20,0.0004194643919606916
60,21,0.0006608985095050528
60,22,0.0008990133325378465
60,23,0.0015938674695380197
60,24,0.0007818869229326988
60,25,0.0007470223138389571
60,26,0.0004532195984770594
60,27,0.000583634532156721
60,28,0.0008429262144494511
60,29,0.001867295089650659
60,30,0.0010364043196953812
60,31,0.0016652970391597768
60,32,0.0006751673592252466
60,33,0.0009660537161755954
60,34,0.001271203651535085
60,35,0.000462865703740965
60,36,0.002941836412556005
60,37,0.0017114891072539508
60,38,0.000607382684390057
60,39,0.0004827315046073184
60,40,0.0022650300898456746
60,41,0.0010448908539668626
60,42,0.0010331062496474843
60,43,0.0023250461047909193
